# English → Traditional-Chinese assist derived from pinned CC-CEDICT,
# FrequencyWords English vocabulary, and rime-essay ranking data.
# Curated Hong Kong rows are a separately pinned higher-priority input.
# CC-CEDICT source URL: https://cc-cedict.org/editor/editor_export_cedict.php?c=gz
# CC-CEDICT source date: 2026-07-12T16:23:25Z
# CC-CEDICT SHA-256: 90e2881776366f606171a977a1f54786196f428ba604c728a279d4aaff7223a8
# Per-key candidate cap: 3; key length<=32.
english,chinese,freq
a'ak,雅樂,0.2310
a-bian,阿扁,0.2490
a-bomb,原子彈,0.2600
a-choo,阿嚏,0.2265
a-choo,哈啾,0.2000
a-class,正品,0.3244
a-dou,阿斗,0.2396
a-grade,三甲,0.2526
a-lan,阿蘭,0.2449
a-list,腕級,0.2000
a-m,阿嬤,0.2000
a-mei,張惠妹,0.2522
aa,五號電池,0.2264
aa,三號電池,0.2160
aaa,七號電池,0.2240
aaa,四號電池,0.2137
aardvark,土豬,0.2253
aardvark,土豚,0.2200
aaron,亞倫,0.2326
aaron,炎亞綸,0.2339
ab,自始,0.2365
aback,跌眼鏡,0.2306
aback,少見多怪,0.2282
aback,大吃一驚,0.2000
abacus,算盤,0.2461
abacus,頂板,0.2329
abacus,九歸,0.2000
abalone,鮑,0.2717
abalone,鮑魚,0.2550
abalone,九孔,0.2299
abandon,放棄,0.6439
abandon,拋棄,0.4348
abandon,拋,0.3654
abandoned,廢,0.3210
abandoned,棄用,0.2322
abandoned,心影兒,0.2081
abandoning,背信棄義,0.2307
abandoning,笑貧不笑娼,0.2256
abandonment,廢統,0.2224
abandons,樹倒猢猻散,0.2262
abate,趨緩,0.2401
abattoir,屠宰場,0.2385
abattoir,屠場,0.2275
abattoir,屠刀,0.2327
abba,阿爸,0.2329
abba,阿爸父,0.2207
abbas,阿巴斯,0.2413
abbey,僧院,0.2252
abbey,大寺院,0.2242
abbey,隱修院,0.2215
abbot,住持,0.2340
abbot,院牧,0.2145
abbot,男修道院長,0.2032
abbot's,方丈,0.2469
abbreviation,簡稱,0.4423
abbreviation,縮寫,0.3107
abbreviation,縮,0.2881
abby,阿比,0.2298
abc,美國廣播公司,0.2285
abc,澳洲廣播電臺,0.2201
abc,發蒙,0.2040
abdel,阿拉法特,0.2399
abdel,納賽爾,0.2266
abdicate,禪,0.2749
abdicate,遜,0.2587
abdicate,退位,0.2376
abdomen,肚子,0.4068
abdomen,腹部,0.3749
abdomen,腹,0.2839
abdominal,腹肌,0.3529
abdominal,腹腔,0.2525
abdominal,癥,0.2347
abduct,綁架,0.3098
abduct,劫持,0.2570
abduct,挾持,0.2418
abducted,還鄉女,0.2000
abduction,綁架,0.3098
abductor,金魚佬,0.2246
abdullah,阿卜杜拉,0.2307
abe,安倍,0.2483
abe,亞伯,0.2301
abe,安倍晉三,0.2296
abel,亞伯,0.2301
abel,阿貝爾,0.2287
aberdeen,阿伯丁,0.2300
aberrant,異色樹鶯,0.2000
aberration,畸變,0.2534
aberration,失常,0.2504
aberration,像差,0.2303
abetting,藏污納垢,0.2295
abhor,痛恨,0.2763
abhor,疾,0.2737
abhor,憎惡,0.2416
abhorrent,令人髮指,0.2628
abhorrent,群起而攻之,0.2000
abi,阿比,0.2298
abi,阿依莎,0.2202
abi,阿伊莎,0.2192
abide,遵循,0.4455
abide,守,0.3745
abide,遵守,0.3705
abiding,觀瞻,0.2306
abiding,篤守,0.2226
