# Quick character corpus derived from pinned rime-cangjie and rime-essay sources.
# Canonical Cangjie code is converted to first+last Quick code; reviewed HK rows are merged by text.
# rime-cangjie commit: 52d90a1b1312e74042b38c1cbc8142defbc53171; SHA-256: 18d989bf21d0bb86b402f18be4dd060bf2653896c95448afb01d4da2e6be5464
# rime-essay commit: 0debef3f5ae37f081758dd8bbd1fe79719410f7c; SHA-256: 4f32414039eb7f8a876acd8e94bd81c78fefafde56a352f7a3b8b2b74ca09c71
# Frequency units: 0.2000 + 0.6000 * count / (count + 10000), truncated to four decimals.
# Fields: char,quick_code,cangjie_code,freq,hk_core
char,quick_code,cangjie_code,freq,hk_core
日,a,a,0.7700,0
曰,a,a,0.3390,0
間,aa,ana,0.5228,0
暗,aa,ayta,0.3545,0
昌,aa,aa,0.3208,0
晶,aa,aaa,0.3019,0
暑,aa,ajka,0.2445,0
闇,aa,anyta,0.2414,0
曙,aa,awla,0.2403,0
閽,aa,anhpa,0.2329,0
閶,aa,anaa,0.2320,0
闍,aa,anjka,0.2316,0
晿,aa,aaa,0.2258,0
暏,aa,ajka,0.2207,0
昍,aa,aa,0.2206,0
暙,aa,aqka,0.2187,0
明,ab,ab,0.5112,0
閒,ab,anb,0.3718,0
晴,ab,aqmb,0.3130,0
晞,ab,akkb,0.2346,0
閙,ab,anylb,0.2328,0
晡,ab,aijb,0.2293,0
曞,ab,amtb,0.2279,0
昺,ab,amob,0.2261,0
暠,ab,ayrb,0.2253,0
冐,ab,ab,0.2226,0
暪,ab,atlb,0.2214,0
昞,ab,amob,0.2202,0
曘,ab,ambb,0.2200,0
昁,ab,ajb,0.2150,0
題,ac,aombc,0.8200,0
顯,ac,afmbc,0.3440,0
曠,ac,aitc,0.2498,0
顥,ac,afmbc,0.2364,0
暝,ac,abac,0.2356,0
闐,ac,anjbc,0.2327,0
顕,ac,acmbc,0.2247,0
曂,ac,atlc,0.2226,0
曊,ac,alnc,0.2214,0
闠,ac,anlmc,0.2198,0
晎,ac,atc,0.2187,0
閧,ac,antc,0.2173,0
閴,ac,anbuc,0.2169,0
昗,ac,ayc,0.2159,0
暊,ac,ambc,0.2156,0
晪,ac,atbc,0.2151,0
昧,ad,ajd,0.2507,0
閑,ad,and,0.2423,0
閫,ad,anwd,0.2352,0
杲,ad,ad,0.2331,0
暣,ad,aond,0.2257,0
晽,ad,add,0.2232,0
旴,ad,amd,0.2195,0
曗,ad,atcd,0.2186,0
冔,ad,armd,0.2158,0
闑,ad,anhud,0.2152,0
暞,ad,ahud,0.2125,0
暆,ad,aysd,0.2123,0
最,ae,asje,0.7218,0
暴,ae,atce,0.3247,0
暖,ae,abme,0.3111,0
曼,ae,awle,0.3111,0
曝,ae,aate,0.2607,0
暇,ae,arse,0.2479,0
曖,ae,abbe,0.2420,0
閿,ae,anbbe,0.2337,0
闅,ae,anbue,0.2256,0
閖,ae,ane,0.2234,0
晙,ae,aice,0.2229,0
昄,ae,ahe,0.2211,0
昹,ae,aine,0.2191,0
敡,ae,ahye,0.2171,0
昅,ae,anhe,0.2166,0
曃,ae,ayle,0.2153,0
㿺,ae,aedhe,0.2000,0
照,af,arf,0.5082,0
景,af,ayrf,0.3605,0
闖,af,ansqf,0.2927,0
晾,af,ayrf,0.2583,0
闌,af,andwf,0.2525,0
暸,af,akcf,0.2431,0
煦,af,arf,0.2398,0
炅,af,af,0.2341,0
曛,af,ahgf,0.2318,0
鶥,af,auhaf,0.2307,0
鷳,af,abhaf,0.2287,0
鵾,af,aphaf,0.2244,0
闗,af,anvif,0.2236,0
鶡,af,avhaf,0.2227,0
暻,af,aayf,0.2226,0
煚,af,asf,0.2224,0
暕,af,adwf,0.2217,0
鷃,af,avhaf,0.2214,0
暩,af,abof,0.2210,0
鴠,af,amhaf,0.2184,0
晱,af,aff,0.2177,0
曣,af,atlf,0.2175,0
焸,af,aaf,0.2173,0
鱀,af,aunwf,0.2169,0
鵖,af,aihaf,0.2165,0
鷐,af,avhaf,0.2159,0
焛,af,anf,0.2151,0
炚,af,af,0.2146,0
曭,af,afbf,0.2125,0
鷼,af,aahaf,0.2109,0
𨳒,af,anf,0.2006,0
鶗,af,aohaf,0.2000,0
量,ag,amwg,0.5275,0
旺,ag,amg,0.3266,0
曜,ag,asmg,0.2485,0
閨,ag,angg,0.2401,0
閏,ag,anmg,0.2389,0
曈,ag,aytg,0.2317,0
暀,ag,ahog,0.2285,0
閮,ag,annkg,0.2285,0
塈,ag,aug,0.2229,0
