# Quick phrase corpus derived from pinned rime-cangjie and rime-essay sources.
# Canonical Cangjie code is converted to first+last Quick code; reviewed HK rows are merged by text.
# rime-cangjie commit: 52d90a1b1312e74042b38c1cbc8142defbc53171; SHA-256: 18d989bf21d0bb86b402f18be4dd060bf2653896c95448afb01d4da2e6be5464
# rime-essay commit: 0debef3f5ae37f081758dd8bbd1fe79719410f7c; SHA-256: 4f32414039eb7f8a876acd8e94bd81c78fefafde56a352f7a3b8b2b74ca09c71
# Frequency units: 0.2000 + 0.6000 * count / (count + 10000), truncated to four decimals.
# Fields: phrase,quick_code,freq,hk_core
phrase,quick_code,freq,hk_core
日日,aa,0.2832,0
暗暗,aaaa,0.2751,0
晶晶,aaaa,0.2701,0
暗影,aaah,0.2715,0
晶體,aabt,0.3331,0
晶體管,aabthr,0.2489,0
暗淡,aaef,0.2529,0
日照,aaf,0.2718,0
晶瑩,aafi,0.2636,0
曙光,aafu,0.2751,0
暗物質,aahhhc,0.2604,0
間的,aahi,0.3209,0
暗牧,aahk,0.2494,0
暗自,aahu,0.2628,0
暗殺,aake,0.2916,0
暗中,aal,0.2678,0
暗示,aamf,0.4671,0
昌平,aamj,0.2613,0
間隔,aanb,0.3794,0
間隙,aanf,0.3128,0
暑假,aaoe,0.4560,0
間接,aaqv,0.3666,0
間距,aars,0.3117,0
暑期,aatb,0.2874,0
暗藏,aats,0.2511,0
日晚,aau,0.2716,0
間斷,aavl,0.2669,0
暗戀,aavp,0.2900,0
暗黑,aawf,0.3371,0
間諜,aayd,0.2957,0
暗夜,aayk,0.2632,0
暗部,aayl,0.2578,0
暗訪,aays,0.2486,0
日月,ab,0.2689,0
明日,aba,0.2922,0
明暗,abaa,0.2686,0
明明,abab,0.5454,0
明明是,ababao,0.3602,0
明明白白,ababhaha,0.2877,0
明明知道,ababoryu,0.2485,0
明顯,abac,0.6663,0
明顯是,abacao,0.3104,0
明顯的,abachi,0.5198,0
閒暇,abae,0.2569,0
明日香,abaha,0.2921,0
明早,abaj,0.2703,0
明晰,abal,0.2662,0
明星,abam,0.5766,0
明晚,abau,0.2627,0
明月,abb,0.3016,0
明瞭,abbf,0.2745,0
明軍,abbj,0.2531,0
閒錢,abci,0.2645,0
明銳,abcu,0.2480,0
明末,abdj,0.2505,0
明清,abeb,0.2784,0
明治,aber,0.2495,0
明白,abha,0.6053,0
明白了,abhann,0.4039,0
閒的,abhi,0.2675,0
明兒,abhu,0.2493,0
明朗,abib,0.2780,0
晴朗,abib,0.2568,0
日軍,abj,0.3453,0
明朝,abjb,0.4179,0
明教,abjk,0.2504,0
明史,ablk,0.2485,0
明珠,abmd,0.2795,0
明確,abmg,0.6046,0
明確的,abmghi,0.4634,0
明確提出,abmgqouu,0.2549,0
明確規定,abmgqujo,0.2674,0
明確表示,abmgqvmf,0.2523,0
明天,abmk,0.7129,0
晴天,abmk,0.2710,0
閒魚,abnf,0.3410,0
明了,abnn,0.2745,0
閒人,abo,0.2611,0
明智,aboa,0.2770,0
明代,abop,0.3280,0
明年,aboq,0.4862,0
明知,abor,0.3049,0
明信片,aborll,0.2539,0
明知道,aboryu,0.2804,0
閒情,abpb,0.2480,0
明快,abpk,0.2495,0
日用,abq,0.2488,0
日用品,abqrr,0.2544,0
閒聊,absl,0.2921,0
明基,abtg,0.2782,0
閒着,abtu,0.2810,0
明媚,abvu,0.2606,0
明細,abvw,0.3056,0
閒置,abwm,0.2787,0
閒雜,abyg,0.2550,0
閒逛,abyg,0.2539,0
明亮,abyn,0.3734,0
閒話,abyr,0.2529,0
明說,abyu,0.2695,0
明道,abyu,0.2487,0
題量,acag,0.2588,0
顯然,acbf,0.5987,0
題爲,acbf,0.2584,0
顯然是,acbfao,0.4056,0
顯然的,acbfhi,0.2629,0
顯然不是,acbfmfao,0.2777,0
題目,acbu,0.6704,0
題目是,acbuao,0.2587,0
顯眼,acbv,0.2583,0
題材,acdh,0.5303,0
顯赫,acgc,0.2526,0
顯得,achi,0.5770,0
顯得很,achihv,0.2740,0
顯微,achk,0.2487,0
顯微鏡,achkcu,0.2540,0
題庫,acij,0.3685,0
題幹,acjj,0.3081,0
顯存,ackd,0.2711,0
顯示,acmf,0.6229,0
顯示的,acmfhi,0.2985,0
顯示器,acmfrr,0.3855,0
顯示屏,acmfst,0.2863,0
顯示出,acmfuu,0.3136,0
顯示出來,acmfuudo,0.2494,0
顯示效果,acmfykwd,0.2487,0
題型,acmg,0.4957,0
顯而易見,acmlahbu,0.3692,0
顯露,acmr,0.2639,0
顯現,acmu,0.3032,0
題外話,acnyyr,0.3752,0
顯擺,acqp,0.2510,0
顯著,acta,0.3838,0
顯著的,actahi,0.3197,0
顯出,acuu,0.2603,0
曠野之息,acwniohp,0.2630,0
題主,acyg,0.7262,0
顯卡,acyy,0.4207,0
日本,adm,0.7322,0
日本車,admjj,0.2494,0
日本政府,admmkii,0.2580,0
日本人,admo,0.4906,0
日本人的,admohi,0.2616,0
日本文化,admykop,0.2524,0
最明顯,aeabac,0.3018,0
曖昧,aead,0.3200,0
最最,aeae,0.2962,0
暖暖,aeae,0.2555,0
暖暖的,aeaehi,0.2518,0
最早,aeaj,0.5673,0
最早的,aeajhi,0.2720,0
最關鍵,aeatcq,0.2509,0
最開始,aeatvr,0.5085,0
最晚,aeau,0.2617,0
最具,aebc,0.3119,0
最愛,aebe,0.3534,0
最受,aebe,0.2673,0
最愛的,aebehi,0.3174,0
