# Jyutping (粵拼) dictionary — source rime-cantonese (CC-BY/ODbL) + essay freq
# Toneless codes; includes Cantonese colloquial vocabulary.
# Fields: jyutping, chinese, freq
jyutping,chinese,freq
a,啊,0.3687
a,吖,0.2838
aa,啊,0.3822
aa,呀,0.3668
aa,阿,0.3376
aa,呵,0.2869
aa,丫,0.2831
aa,雅,0.2816
aa,亞,0.2768
aa,吖,0.2703
aa,啞,0.2406
aa,婭,0.2311
aa,鴉,0.2206
aa,錒,0.2173
aa,嗄,0.2162
aa,錏,0.2132
aa,氬,0.2127
aa,埡,0.2103
aa,掗,0.2092
aa,椏,0.2086
aa,亜,0.2077
aa,鈳,0.2049
aa,唖,0.2007
aa,厊,0.1989
aa,俹,0.1961
aa,瘂,0.1951
aa,鐚,0.195
aa,枒,0.1949
aa,咓,0.1936
aa,孲,0.1934
aa,襾,0.1921
aa,鵶,0.1893
aa,妿,0.183
aabaa,啞巴,0.481
aabaa,阿爸,0.4655
aabaak,阿伯,0.4656
aabing,阿炳,0.4641
aabou,阿布,0.4856
aacaa,丫杈,0.4529
aaceon,吖嗪,0.4483
aade,阿爹,0.4619
aading,吖啶,0.4598
aafei,阿飛,0.4768
aafuk,阿福,0.4717
aago,阿哥,0.4825
aagu,阿姑,0.4583
aagu,啞鼓,0.4503
aagung,阿公,0.4651
aagwan,亞軍,0.4915
aahau,啞口,0.4663
aai,唉,0.3464
aai,哎,0.3187
aai,呃,0.2919
aai,挨,0.2517
aai,埃,0.2513
aai,嗄,0.2387
aai,噯,0.2325
aai,噫,0.2224
aai,隘,0.2113
aai,嗌,0.2102
aai,唲,0.2063
aai,毐,0.2011
aai,娭,0.198
aai,阨,0.1943
aai,餲,0.1872
aai,阸,0.1834
aai,溾,0.1833
aai,伌,0.1832
aai,賹,0.1813
aai,劸,0.181
aai,砨,0.1749
aai,塧,0.1746
aai,欸,0.1538
aaiaa,哎呀,0.514
aaiaai,唉唉,0.4717
aaibin,挨邊,0.4553
aaicaat,挨擦,0.4493
aaici,挨次,0.4547
aaigeoi,埃居,0.4504
aaigo,挨個,0.4986
aaiguk,隘谷,0.4471
aaijau,哎呦,0.4725
aaijo,哎喲,0.4828
aaikan,挨近,0.4613
aaimun,挨門,0.4574
aaitek,挨踢,0.4617
aaizai,挨擠,0.4579
aaje,阿爺,0.4621
aajeoi,亞裔,0.4883
aaji,阿姨,0.5302
aajyu,啞語,0.4602
aajyun,亞鉛,0.4513
aak,阿,0.3151
aak,呃,0.3054
aak,厄,0.2598
aak,握,0.2446
aak,軛,0.218
aak,阨,0.2168
aak,扼,0.2165
aak,阸,0.2059
aak,幄,0.2027
aak,軶,0.2025
aak,鈪,0.1967
aak,戹,0.1831
aakau,阿舅,0.4562
aakbit,握別,0.459
aakek,啞劇,0.4618
aakging,厄境,0.4496
aakjik,呃逆,0.4628
aakkyun,握權,0.4531
aaklik,握力,0.4682
aaknaan,厄難,0.4579
aaksau,握手,0.4906
aakwan,厄運,0.4835
aakzai,扼制,0.4628
aakzyu,握住,0.4862
aaling,啞鈴,0.5143
aam,菡,0.2268
aamaa,阿媽,0.4753
aamaan,阿曼,0.4825
aamai,啞謎,0.4615
aamang,阿盟,0.4628
aamou,阿毛,0.4703
aamou,阿母,0.4617
aamui,阿妹,0.4738
aamun,阿門,0.4784
aamun,阿們,0.4591
aan,俺,0.3313
aan,殷,0.2562
aan,晏,0.2251
aan,鷃,0.1922
aan,妟,0.192
aan,洝,0.192
aan,姲,0.1889
aan,鴳,0.1888
aan,暥,0.1853
aan,騴,0.1737
aanaai,阿奶,0.4584
aanaan,阿難,0.4656
aang,罌,0.207
aang,罃,0.1887
aang,甖,0.1775
aang,甇,0.1718
aangaa,晏駕,0.455
aangsuk,罌粟,0.4735
aanjing,晏嬰,0.4603
aanzi,晏子,0.4643
aap,押,0.2773
aap,鴨,0.2706
aap,浥,0.2013
aap,庘,0.1885
aap,圔,0.1869
aap,擪,0.1808
aapgiu,鴨叫,0.4562
aapin,鴉片,0.4814
