text,jyutping
〇,ling4
㗎,ga3
䲁,wai3
䴉,syun4
一,jat1
一一,jat1 jat1
一下,jat1 haa5
一下子,jat1 haa5 zi2
一世,jat1 sai3
一事,jat1 si6
一些,jat1 se1
一代,jat1 doi6
一併,jat1 ping3
一來,jat1 loi4
一個,jat1 go3
一個人,jat1 go3 jan1
一個億,jat1 go3 jik1
一兩次,jat1 loeng5 ci3
一共,jat1 gung6
一再,jat1 zoi3
一刀切,jat1 dou1 cit3
一分錢,jat1 fan1 cin4
一切,jat1 cai3
一刻,jat1 hak1
一剎那,jat1 saat3 naa5
一勞永逸,jat1 lou4 wing5 jat6
一千,jat1 cin1
一半,jat1 bun3
一口,jat1 hau2
一口價,jat1 hau2 gaa3
一口氣,jat1 hau2 hei3
一同,jat1 tung4
一向,jat1 hoeng3
一味,jat1 mei2
一哥,jat1 go1
一場,jat1 coeng4
一塊,jat1 faai3
一塌糊塗,jat1 taap3 wu4 tou4
一夜之間,jat1 je6 zi1 gaan1
一夜情,jat1 je6 cing4
一如,jat1 jyu4
一如既往,jat1 jyu4 gei3 wong5
一定,jat1 ding6
一帆風順,jat1 faan4 fung1 seon6
一席之地,jat1 zik6 zi1 dei6
一帶,jat1 daai3
一年一度,jat1 nin4 jat1 dou6
一度,jat1 dou6
一廂情願,jat1 soeng1 cing4 jyun6
一律,jat1 leot6
一心,jat1 sam1
一心一意,jat1 sam1 jat1 ji3
一應俱全,jat1 jing3 keoi1 cyun4
一成不變,jat1 sing4 bat1 bin3
一戰,jat1 zin3
一手,jat1 sau2
一排,jat1 paai4
一改,jat1 goi2
一文不值,jat1 man4 bat1 zik6
一方,jat1 fong1
一方面,jat1 fong1 min6
一旁,jat1 pong4
一族,jat1 zuk6
一日,jat1 jat6
一旦,jat1 daan3
一早,jat1 zou2
一時,jat1 si4
一時間,jat1 si4 gaan1
一會,jat1 wui6
一會兒,jat1 wui6 ji4
一月,jat1 jyut6
一本,jat1 bun2
一本正經,jat1 bun2 zing3 ging1
一條龍,jat1 tiu4 lung4
一概,jat1 koi3
一模一樣,jat1 mou4 jat1 joeng6
一樣,jat1 joeng6
一次,jat1 ci3
一步,jat1 bou6
一步步,jat1 bou6 bou6
一氣呵成,jat1 hei3 ho1 sing4
一流,jat1 lau4
一無所有,jat1 mou4 so2 jau5
一無所知,jat1 mou4 so2 zi1
一無是處,jat1 mou4 si6 cyu3
一片,jat1 pin3
一生,jat1 sang1
一生一世,jat1 sang1 jat1 sai3
一番,jat1 faan1
一百,jat1 baak3
一目瞭然,jat1 muk6 liu5 jin4
一直,jat1 zik6
一眼,jat1 ngaan5
一瞬間,jat1 seon3 gaan1
一知半解,jat1 zi1 bun3 gaai2
一竅不通,jat1 hiu3 bat1 tung1
一系列,jat1 hai6 lit6
一級,jat1 kap1
一絲,jat1 si1
一線,jat1 sin3
一股腦,jat1 gu2 nou5
一脈相承,jat1 mak6 soeng1 sing4
一致,jat1 zi3
一舉,jat1 geoi2
一舉一動,jat1 geoi2 jat1 dung6
一般,jat1 bun1
一般人,jat1 bun1 jan4
一般來說,jat1 bun1 loi4 syut3
一般而言,jat1 bun1 ji4 jin4
一號,jat1 hou6
一行,jat1 hang4
一見鍾情,jat1 gin3 zung1 cing4
一覽,jat1 laam5
一言難盡,jat1 jin4 naan4 zeon6
一貫,jat1 gun3
一起,jat1 hei2
一路,jat1 lou6
一路上,jat1 lou6 soeng6
一蹴而就,jat1 cuk1 ji4 zau6
一身,jat1 san1
一輩子,jat1 bui3 zi2
一連,jat1 lin4
一連串,jat1 lin4 cyun3
一道,jat1 dou6
一邊,jat1 bin1
一部分,jat1 bou6 fan6
一陣,jat1 zan6
一陣子,jat1 zan6 zi2
一面,jat1 min6
一頭霧水,jat1 tau4 mou6 seoi2
一體,jat1 tai2
一點,jat1 dim2
一點點,jat1 dim2 dim2
一齊,jat1 cai4
丁,ding1
丁香,ding1 hoeng1
丂,haau2
七,cat1
七喜,cat1 hei2
七夕,cat1 zik6
七彩,cat1 coi2
七月,cat1 jyut6
丄,soeng6
丅,haa6
丆,daan1
丈,zoeng6
丈夫,zoeng6 fu1
三,saam1
三八,saam1 baat3
三國,saam1 gwok3
三國演義,saam1 gwok3 jin2 ji6
三圍,saam1 wai4
三峽,saam1 haap6
三廂,saam1 soeng1
三文魚,saam1 man4 jyu2
三明治,saam1 ming4 zi6
三月,saam1 jyut6
三甲,saam1 gaap3
三級片,saam1 kap1 pin2
三腳架,saam1 goek3 gaa2
三號,saam1 hou6
三角,saam1 gok3
三角形,saam1 gok3 jing4
三輪車,saam1 leon4 ce1
上,soeng5
上一頁,soeng6 jat1 jip6
上下,soeng6 haa6
上下文,soeng6 haa6 man4
上任,soeng5 jam6
上位,soeng5 wai2
上來,soeng5 loi4
上個月,soeng6 go3 jyut6
上億,soeng5 jik1
上前,soeng5 cin4
上升,soeng6 sing1
上午,soeng6 ng5
上去,soeng5 heoi3
上古,soeng6 gu2
上司,soeng6 si1
上吊,soeng5 diu3
上報,soeng6 bou3
上場,soeng5 coeng4
上天,soeng6 tin1
上學,soeng5 hok6
上官,soeng6 gun1
上層,soeng6 cang4
上山,soeng5 saan1
上岸,soeng5 ngon6
上市,soeng5 si5
上帝,soeng6 dai3
上年,soeng6 nin2
上心,soeng5 sam1
上手,soeng5 sau2
上揚,soeng6 joeng4
上文,soeng6 man4
上映,soeng5 jing2
上會,soeng5 wui2
上月,soeng6 jyut6
上期,soeng6 kei4
上校,soeng6 gaau3
上榜,soeng5 bong2
上樓,soeng5 lau2
上次,soeng6 ci3
上海,soeng6 hoi2
上游,soeng6 jau4
上演,soeng5 jin2
上漲,soeng6 zoeng3
上牀,soeng5 cong4
上班,soeng5 baan1
上班族,soeng5 baan1 zuk6
上當,soeng5 dong3
上癮,soeng5 jan5
上空,soeng6 hung1
上籃,soeng5 laam2
上級,soeng6 kap1
上網,soeng5 mong5
上線,soeng5 sin3
上繳,soeng6 giu2
上肢,soeng6 zi1
上色,soeng5 sik1
上萬,soeng5 maan6
上街,soeng5 gaai1
上衣,soeng6 ji1
上訴,soeng6 sou3
上訴人,soeng6 sou3 jan4
上課,soeng5 fo3
上調,soeng6 tiu4
上路,soeng5 lou6
上身,soeng5 san1
上車,soeng5 ce1
上述,soeng6 seot6
上週,soeng6 zau1
上進,soeng6 zeon3
上邊,soeng6 bin1
上門,soeng5 mun2
上限,soeng6 haan6
上陣,soeng5 zan6
上面,soeng6 min6
上頭,soeng6 tau4
上風,soeng6 fung1
上馬,soeng5 maa5
下,haa5
下一個,haa6 jat1 go3
下下,haa5 haa5
下令,haa6 ling6
下來,haa6 loi4
下個月,haa6 go3 jyut6
下列,haa6 lit6
下功夫,haa6 gung1 fu1
下午,haa6 ng5
下午茶,haa6 ng5 caa4
下去,haa6 heoi3
下垂,haa6 seoi4
下場,haa6 coeng4
下家,haa6 gaa1
下層,haa6 cang4
下屬,haa6 suk6
下崗,haa6 gong1
下巴,haa6 baa1
下意識,haa6 ji3 sik1
下手,haa6 sau2
下挫,haa6 co3
下放,haa6 fong3
下文,haa6 man4
下旬,haa6 ceon4
下次,haa6 ci3
下水,haa6 seoi2
下沉,haa6 cam4
下注,haa6 zyu3
下流,haa6 lau4
下海,haa6 hoi2
下游,haa6 jau4
下滑,haa6 wat6
下牀,haa6 cong4
下班,haa6 baan1
下級,haa6 kap1
下肢,haa6 zi1
下落,haa6 lok6
下課,haa6 fo3
下調,haa6 tiu4
下跌,haa6 dit3
下跪,haa6 gwai6
下身,haa6 san1
下載,haa6 zoi3
下邊,haa6 bin6
下降,haa6 gong3
下限,haa6 haan6
下雨,haa6 jyu5
下面,haa6 min6
下麪,haa6 min6
丌,gei1
不,bat1
不一,bat1 jat1
不一定,bat1 jat1 ding6
不下,bat1 haa6
不久,bat1 gau2
不乏,bat1 fat6
不了,bat1 liu5
不了了之,bat1 liu5 liu5 zi1
不亦樂乎,bat1 jik6 lok6 fu4
不但,bat1 daan6
不住,bat1 zyu6
不便,bat1 bin6
不俗,bat1 zuk6
不信任,bat1 seon3 jam6
不停,bat1 ting4
不僅,bat1 gan2
不免,bat1 min5
不公,bat1 gung1
不再,bat1 zoi3
不准,bat1 zeon2
不凡,bat1 faan4
不出,bat1 ceot1
不分,bat1 fan1
不切實際,bat1 cit3 sat6 zai3
不利,bat1 lei6
不力,bat1 lik6
不動產,bat1 dung6 caan2
不動聲色,bat1 dung6 sing1 sik1
不勝,bat1 sing1
不及,bat1 kap6
不只,bat1 zi2
不可,bat1 ho2
不可思議,bat1 ho2 si1 ji5
不可或缺,bat1 ho2 waak6 kyut3
不合,bat1 hap6
不同,bat1 tung4
不和,bat1 wo4
不善,bat1 sin6
不單,bat1 daan1
不在乎,bat1 zoi6 fu4
不在話下,bat1 zoi6 waa6 haa6
不堪,bat1 ham1
不失,bat1 sat1
不好意思,bat1 hou2 ji3 si3
不如,bat1 jyu4
不妙,bat1 miu6
不妨,bat1 fong4
不孕,bat1 jan6
不安,bat1 on1
不宜,bat1 ji4
不容,bat1 jung4
不實,bat1 sat6
不對,bat1 deoi3
不少,bat1 siu2
不屈,bat1 wat1
不屑,bat1 sit3
不屑一顧,bat1 sit3 jat1 gu3
不已,bat1 ji5
不平,bat1 ping4
不幸,bat1 hang6
不得,bat1 dak1
不得不,bat1 dak1 bat1
不得了,bat1 dak1 liu5
不得已,bat1 dak1 ji5
不得而知,bat1 dak1 ji4 zi1
不復,bat1 fau6
不必,bat1 bit1
不忍,bat1 jan2
不惜,bat1 sik1
不愧,bat1 kwai5
不慎,bat1 san6
不懈,bat1 haai6
不成,bat1 sing4
不折不扣,bat1 zit3 bat1 kau3
不擇手段,bat1 zaak6 sau2 dyun6
不敵,bat1 dik6
不料,bat1 liu6
不斷,bat1 dyun6
不明,bat1 ming4
不時,bat1 si4
不景氣,bat1 ging2 hei3
不曾,bat1 cang4
不朽,bat1 nau2
不止,bat1 zi2
不法,bat1 faat3
不滿,bat1 mun5
不然,bat1 jin4
不爭,bat1 zang1
不甘,bat1 gam1
不用,bat1 jung6
不由得,bat1 jau4 dak1
