# Mixed Chinese-English phrase corpus — Stage 1
# Fields: trigger_en, phrase, freq
# trigger_en: the English token that activates these completions
trigger_en,phrase,freq
send,send返,0.650
send,send俾我,0.620
send,send個file,0.580
send,send咗未,0.545
send,send左,0.520
confirm,confirm咗,0.640
confirm,confirm返,0.600
confirm,confirm一下,0.560
confirm,confirm咗未,0.530
check,check下,0.650
check,check email,0.620
check,check返,0.590
check,check清楚,0.560
call,call你,0.660
call,call我,0.640
call,call返,0.610
call,call咗未,0.580
reply,reply你,0.640
reply,reply咗,0.610
reply,reply返,0.580
reply,reply先,0.550
meeting,meeting完,0.660
meeting,meeting後,0.630
meeting,meeting咗,0.600
meeting,meeting幾時,0.570
email,email你,0.640
email,email俾你,0.610
email,email咗,0.580
email,email返,0.550
file,file俾我,0.650
file,file係喺,0.620
file,file名,0.590
ok,ok㗎,0.680
ok,ok喇,0.660
ok,ok的,0.640
ok,ok先,0.610
no,no㗎,0.680
no,no喇,0.660
no,no問題,0.640
go,go先,0.660
go,go喇,0.640
go,go囉,0.610
update,update咗,0.640
update,update返,0.610
update,update你,0.580
download,download咗未,0.640
download,download返,0.610
upload,upload咗,0.640
upload,upload返,0.610
forward,forward俾你,0.640
forward,forward咗,0.610
share,share俾你,0.640
share,share個link,0.610
link,link俾你,0.640
link,link係咁,0.610
report,report咗,0.640
report,report返,0.610
request,request咗,0.640
request,request你,0.610
deadline,deadline係幾時,0.640
deadline,deadline到喇,0.610
interview,interview幾時,0.640
interview,interview完,0.610
offer,offer咗,0.640
offer,offer你,0.610
