# Mandarin Pinyin dictionary derived from CC-CEDICT (CC BY-SA 4.0)
# Toneless continuous keys; u: and ü are normalized to v.
# Noncanonical readings and non-Han headwords are excluded before shipping.
# Source URL: https://cc-cedict.org/editor/editor_export_cedict.php?c=gz
# Source date: 2026-07-12T16:23:25Z
# Source SHA-256: 90e2881776366f606171a977a1f54786196f428ba604c728a279d4aaff7223a8
# CC-CEDICT format: version=1; subversion=0
# Fallback frequency: single character=0.3000; two-character word=0.2500; multi-character phrase=0.2000.
# Canonical persisted override: mao->貓=1.0000.
# Runtime budgets: rows<=130000; bytes<=4194304; fanout<=256; key_length<=72.
pinyin,chinese,freq
a,啊,0.7366
a,阿,0.5716
a,呵,0.3865
a,吖,0.3746
a,錒,0.2445
a,嗄,0.2431
a,腌,0.2431
aba,阿壩,0.2500
aba,阿爸,0.2500
abafu,阿爸父,0.2000
abagaqi,阿巴嘎旗,0.2000
abalaqiya,阿巴拉契亞,0.2000
abasi,阿巴斯,0.2000
abasiwangchao,阿拔斯王朝,0.2000
abaxian,阿壩縣,0.2000
abazangzuqiangzuzizhizhou,阿壩藏族羌族自治州,0.2000
abazhou,阿壩州,0.2000
abeibei,阿貝貝,0.2000
abeier,阿貝爾,0.2000
abi,阿比,0.2500
abi,阿鼻,0.2500
abian,阿扁,0.2490
abidiyu,阿鼻地獄,0.2000
abingge,阿兵哥,0.2000
abirang,阿比讓,0.2000
abixiniya,阿比西尼亞,0.2000
abixiniyaren,阿比西尼亞人,0.2000
abiya,阿彼雅,0.2000
aboding,阿伯丁,0.2000
aboluo,阿波羅,0.2718
aboluojihua,阿波羅計劃,0.2000
abudabi,阿布達比,0.2000
abudula,阿卜杜拉,0.2000
abuhazi,阿布哈茲,0.2000
abujia,阿布賈,0.2000
abushayefu,阿布沙耶夫,0.2000
abushuchun,阿布叔醇,0.2000
abuzhabi,阿布扎比,0.2000
achang,阿昌,0.2500
achangzu,阿昌族,0.2000
acheng,阿城,0.2500
achengqu,阿城區,0.2000
achufo,阿閦佛,0.2000
acihaimozheng,阿茨海默症,0.2000
adabier,阿達比爾,0.2000
adan,阿丹,0.2500
adela,阿得拉,0.2000
adelaer,阿得拉爾,0.2000
adelaide,阿得萊德,0.2000
adelaide,阿德萊德,0.2000
adeleide,阿德雷德,0.2000
adi,阿弟,0.2500
adidasi,阿迪達斯,0.2497
adie,阿爹,0.2500
ading,吖啶,0.2500
adingding,吖丁啶,0.2000
adiping,阿的平,0.2000
adisenshibing,阿狄森氏病,0.2000
adisiabeiba,阿迪斯阿貝巴,0.2000
adou,阿斗,0.2500
aduonisi,阿多尼斯,0.2000
aduonuo,阿多諾,0.2000
aerbaniya,阿爾巴尼亞,0.2000
aerbaniyaren,阿爾巴尼亞人,0.2000
aerbeisi,阿爾卑斯,0.2000
aerbota,阿爾伯塔,0.2000
aerbote,阿爾伯特,0.2000
aercihaimo,阿爾茨海默,0.2000
aercihaimobing,阿爾茨海默病,0.2000
aercihaimoshibing,阿爾茨海默氏病,0.2000
aercihaimoshizheng,阿爾茨海默氏症,0.2000
aercihaimozheng,阿爾茨海默症,0.2000
aerdusai,阿爾都塞,0.2000
aerfa,阿爾法,0.2666
aerfalizi,阿爾法粒子,0.2000
aerfanan,阿爾法男,0.2000
aergaida,阿爾蓋達,0.2000
aergesi,阿耳戈斯,0.2000
aergunqin,阿爾袞琴,0.2000
aerhangeersikezhou,阿爾漢格爾斯克州,0.2000
aerjiawei,阿爾加維,0.2000
aerjier,阿爾及爾,0.2000
aerjiliya,阿爾及利亞,0.2000
aerjiliyaren,阿爾及利亞人,0.2000
aerkantala,阿爾坎塔拉,0.2000
aerkate,阿爾卡特,0.2500
aermeiliya,阿爾梅里亞,0.2000
aersasi,阿爾薩斯,0.2662
aershan,阿爾山,0.2000
aershanshi,阿爾山市,0.2000
aersitonggongsi,阿爾斯通公司,0.2000
aertai,阿爾泰,0.2000
aertaishan,阿爾泰山,0.2000
aertaishanmai,阿爾泰山脈,0.2000
aertaixueji,阿爾泰雪雞,0.2000
aertaiyu,阿爾泰語,0.2000
aertaiziwan,阿爾泰紫菀,0.2000
aertemisi,阿耳忒彌斯,0.2000
aerwasaite,阿爾瓦塞特,0.2000
afaer,阿法爾,0.2000
afaershamo,阿法爾沙漠,0.2000
afaluomiou,阿法羅密歐,0.2000
afanda,阿凡達,0.2000
afanda,阿梵達,0.2000
afanti,阿凡提,0.2000
afei,阿飛,0.2493
afeilijia,阿非利加,0.2000
afeilijiazhou,阿非利加洲,0.2000
afuhan,阿富汗,0.2770
afuhanyu,阿富汗語,0.2000
afujiadeluo,阿伏伽德羅,0.2000
afujiadeluochangshu,阿伏伽德羅常數,0.2000
afuleerhao,阿芙樂爾號,0.2000
afuluodite,阿佛洛狄忒,0.2000
afuluodite,阿弗洛狄忒,0.2000
afuluodite,阿芙羅狄忒,0.2000
afurong,阿芙蓉,0.2000
agaida,阿蓋達,0.2000
aganzhengzhuan,阿甘正傳,0.2000
age,阿哥,0.2604
agenidi,阿格尼迪,0.2000
agenting,阿根廷,0.3926
agong,阿公,0.2500
agu,阿家,0.2500
ahedisali,阿赫蒂薩里,0.2000
aheiyan,阿嘿顏,0.2000
aheiyan,阿黑顏,0.2000
aheng,阿亨,0.2500
aheqi,阿合奇,0.2000
aheqixian,阿合奇縣,0.2000
ahong,阿訇,0.2500
ahuatian,阿華田,0.2000
ahun,阿混,0.2500
ai,愛,0.6596
ai,唉,0.6426
ai,哎,0.5873
ai,艾,0.3532
ai,㝵,0.3000
ai,㤅,0.3000
ai,矮,0.2911
ai,癌,0.2852
ai,埃,0.2786
ai,捱,0.2770
ai,哀,0.2685
ai,挨,0.2621
ai,礙,0.2529
ai,噯,0.2467
ai,曖,0.2420
ai,嬡,0.2387
ai,靄,0.2380
ai,隘,0.2374
ai,嗌,0.2363
ai,薆,0.2363
ai,僾,0.2348
ai,藹,0.2348
ai,璦,0.2339
ai,皚,0.2321
ai,砹,0.2313
ai,鑀,0.2302
ai,鎄,0.2284
ai,靉,0.2281
ai,毐,0.2278
ai,娭,0.2253
ai,壒,0.2249
ai,敱,0.2231
ai,瞹,0.2231
ai,磑,0.2200
ai,餲,0.2184
ai,銰,0.2182
ai,嘊,0.2173
ai,欸,0.2044
ai,騃,0.2000
aiai,愛愛,0.2528
aiai,唉唉,0.2500
aiai,皚皚,0.2500
aiai,磑磑,0.2500
aiai,藹藹,0.2500
aiai,靄靄,0.2500
aiai,靉靉,0.2500
aiaohua,愛奧華,0.2000
aiaoluosi,埃奧羅斯,0.2000
aiaoniyahai,愛奧尼亞海,0.2000
aiaowa,艾奧瓦,0.2000
aibanjie,矮半截,0.2000
aibanzi,挨板子,0.2000
aibian,挨邊,0.2500
aibian,癌變,0.2500
aibianr,挨邊兒,0.2000
aibieliku,愛別離苦,0.2000
aibihu,艾比湖,0.2000
aibingbisheng,哀兵必勝,0.2000
aibiying,愛彼迎,0.2000
aibola,埃博拉,0.2000
aibolabingdu,埃博拉病毒,0.2000
aibota,艾伯塔,0.2000
aibuluo,埃布羅,0.2000
aibuluohe,埃布羅河,0.2000
aiburenshi,愛不忍釋,0.2000
aibushang,挨不上,0.2000
aibushishou,愛不釋手,0.2000
aica,挨擦,0.2500
aicai,愛才,0.2500
aicai,愛財,0.2500
aicairuming,愛財如命,0.2000
aicairuoke,愛才若渴,0.2000
aicao,艾草,0.2500
aichao,愛巢,0.2500
aicheng,愛稱,0.2500
aichou,哀愁,0.2500
aichouqiong,矮醜窮,0.2000
aici,哀詞,0.2500
aici,哀辭,0.2500
aici,挨次,0.2500
aiciba,愛詞霸,0.2000
aicir,挨呲兒,0.2000
aicuo,矮矬,0.2500
aida,挨打,0.2774
aidahe,愛達荷,0.2000
aidai,愛戴,0.2518
aidai,靉靆,0.2500
aidaibing,矮呆病,0.2000
aidao,哀悼,0.2553
aidashouma,挨打受罵,0.2000
aidashouqi,挨打受氣,0.2000
aide,埃德,0.2500
aide,愛德,0.2500
aidehua,愛德華,0.2923
aidehuadao,愛德華島,0.2000
aidehuawangzidao,愛德華王子島,0.2000
aidehuazi,愛德華茲,0.2000
aidejia,埃德加,0.2000
aideling,愛德玲,0.2000
aidemeng,埃德蒙,0.2000
aidemeng,愛德蒙,0.2000
aidemengdun,埃德蒙頓,0.2000
aidemengdun,艾德蒙頓,0.2000
aideng,矮凳,0.2500
aidengbao,艾登堡,0.2000
aidesiquhuolai,愛得死去活來,0.2000
aidesiwoer,愛德斯沃爾,0.2000
aidi,艾迪,0.2500
aidi,靄滴,0.2500
aidicha,矮地茶,0.2000
aidikala,埃迪卡拉,0.2000
aidikala,艾迪卡拉,0.2000
aidikalaji,埃迪卡拉紀,0.2000
aidimeidunshu,哀的美敦書,0.2000
aidingbao,愛丁堡,0.2000
aidinghu,艾丁湖,0.2000
aidisheng,愛迪生,0.2000
aidisheng,艾迪生,0.2000
