text,pinyin
⺮,zhu2
〇,ling2
〡,yi1
〢,er4
〣,san1
〥,wu3
〦,liu4
〧,qi1
〨,ba1
䲁,wei4
䴉,huan2
一,yi1
一一,yi1 yi1
一丁點,yi1 ding1 dian3
一下,yi1 xia4
一下子,yi1 xia4 zi5
一不小心,yi1 bu4 xiao3 xin1
一世,yi1 shi4
一丟丟,yi1 diu1 diu1
一並,yi1 bing4
一二,yi1 er4
一些,yi1 xie1
一代,yi1 dai4
一併,yi1 bing4
一來,yi1 lai2
一個,yi1 ge5
一個人,yi1 ge4 ren2
一個個,yi1 ge4 ge4
一個勁,yi1 ge4 jin4
一元,yi1 yuan2
一共,yi1 gong4
一再,yi1 zai4
一刀切,yi1 dao1 qie1
一切,yi1 qie4
一則,yi1 ze2
一剎那,yi1 cha4 na4
一動不動,yi1 dong4 bu4 dong4
一勞永逸,yi1 lao2 yong3 yi4
一半,yi1 ban4
一卡通,yi1 ka3 tong1
一口,yi1 kou3
一口價,yi1 kou3 jia4
一口氣,yi1 kou3 qi4
一句,yi1 ju4
一句話,yi1 ju4 hua4
一同,yi1 tong2
一向,yi1 xiang4
一味,yi1 wei4
一品,yi1 pin3
一員,yi1 yuan2
一哥,yi1 ge1
一回事,yi1 hui2 shi4
一堆,yi1 dui1
一塊,yi1 kuai4
一塊兒,yi1 kuai4 r5
一塌糊塗,yi1 ta1 hu2 tu5
一夜之間,yi1 ye4 zhi1 jian1
一夜情,yi1 ye4 qing2
一大早,yi1 da4 zao3
一天到晚,yi1 tian1 dao4 wan3
一套,yi1 tao4
一如,yi1 ru2
一如既往,yi1 ru2 ji4 wang3
一字,yi1 zi4
一定,yi1 ding4
一家,yi1 jia1
一家人,yi1 jia1 ren2
一審,yi1 shen3
一對,yi1 dui4
一對一,yi1 dui4 yi1
一小部分,yi1 xiao3 bu4 fen4
一層,yi1 ceng2
一帆風順,yi1 fan1 feng1 shun4
一席之地,yi1 xi2 zhi1 di4
一帶,yi1 dai4
一年半,yi1 nian2 ban4
一年四季,yi1 nian2 si4 ji4
一年多,yi1 nian2 duo1
一度,yi1 du4
一廂情願,yi1 xiang1 qing2 yuan4
一律,yi1 lü4
一心,yi1 xin1
一心一意,yi1 xin1 yi1 yi4
一應俱全,yi1 ying1 ju4 quan2
一成不變,yi1 cheng2 bu4 bian4
一戰,yi1 zhan4
一手,yi1 shou3
一打,yi1 da2
一把手,yi1 ba3 shou3
一排,yi1 pai2
一文不值,yi1 wen2 bu4 zhi2
一方,yi1 fang1
一方面,yi1 fang1 mian4
一旁,yi1 pang2
