# English meaning → Chinese candidates corpus — Stage 2
# Fields: english,chinese,freq
# english: lowercase English word or stem
# chinese: Cantonese/Chinese equivalent shown in candidate bar
# freq: HK-chat-weighted frequency [0.0–1.0]
# Multiple rows per English word = multiple candidates (ranked by freq)
english,chinese,freq
communication,溝通,0.850
communicate,溝通,0.845
communicating,溝通,0.840
communicates,溝通,0.835
communicator,溝通,0.830
discussion,討論,0.850
discuss,討論,0.845
discussing,討論,0.840
discusses,討論,0.835
meeting,會議,0.880
meetings,會議,0.875
project,項目,0.820
projects,項目,0.815
schedule,時間表,0.820
schedules,時間表,0.815
deadline,截止日期,0.810
deadlines,截止日期,0.805
presentation,演示,0.800
presentations,演示,0.795
report,報告,0.830
reports,報告,0.825
reporting,報告,0.820
problem,問題,0.830
problems,問題,0.825
solution,解決,0.820
solutions,解決,0.815
team,團隊,0.830
teams,團隊,0.825
work,工作,0.850
working,工作,0.845
worker,工作,0.840
office,辦公室,0.820
department,部門,0.810
departments,部門,0.805
manager,經理,0.820
managers,經理,0.815
management,管理,0.820
company,公司,0.850
companies,公司,0.845
contract,合約,0.820
contracts,合約,0.815
budget,預算,0.820
budgets,預算,0.815
target,目標,0.820
targets,目標,0.815
result,結果,0.820
results,結果,0.815
important,重要,0.830
urgent,緊急,0.830
customer,客戶,0.830
customers,客戶,0.825
client,客戶,0.825
clients,客戶,0.820
support,支援,0.820
understand,明白,0.820
understanding,明白,0.815
confirm,確認,0.835
confirmation,確認,0.830
approve,批准,0.820
approval,批准,0.815
review,審閱,0.820
update,更新,0.820
progress,進展,0.820
feedback,意見,0.820
proposal,建議,0.820
document,文件,0.820
documents,文件,0.815
information,資料,0.830
interview,面試,0.820
interviews,面試,0.815
appointment,約定,0.815
available,可用,0.810
availability,可用,0.808
question,問題,0.825
questions,問題,0.820
answer,答案,0.820
answers,答案,0.815
explain,解釋,0.820
explanation,解釋,0.815
prepare,準備,0.820
preparation,準備,0.815
