# HK core character corpus — Stage 1
# Fields: char, quick_code, cangjie_code, freq, hk_core
# quick_code = first + last Cangjie radical key (2 letters)
# freq = HK-chat-weighted frequency [0.0–1.0]
char,quick_code,cangjie_code,freq,hk_core
嘅,rv,rmmv,0.980,1
唔,rr,ror,0.978,1
啲,rt,rtt,0.975,1
咗,ru,ryu,0.970,1
喺,rh,rhyu,0.965,1
冇,bm,bm,0.962,1
佢,og,omg,0.958,1
哋,rp,rnlp,0.950,1
嘢,re,rbe,0.940,1
咩,rf,rnf,0.925,1
呢,rs,rsp,0.920,1
嗰,ra,rta,0.910,1
咁,rj,rrj,0.905,1
啱,rq,rrq,0.900,1
睇,bh,buhh,0.892,1
搵,qk,qosk,0.880,1
諗,ip,iohp,0.870,1
攞,qp,qrp,0.865,1
嬲,vv,vwv,0.855,1
攰,qu,qpuu,0.850,1
晒,ao,amso,0.845,1
俾,or,omgr,0.838,1
畀,wg,wjg,0.830,1
嚟,rl,rlo,0.820,1
噉,rk,rkf,0.810,1
# Standard Traditional Chinese characters — high-frequency in HK chat
我,qi,hqi,0.950,0
你,on,oni,0.945,0
佢,og,omg,0.940,0
我哋,qirp,,0.920,0
係,oi,obi,0.915,0
有,bg,bkb,0.910,0
冇,bm,bm,0.905,0
好,vd,vnd,0.900,0
係咁,oirj,,0.880,0
唔好,rrvd,,0.878,0
返,yv,henv,0.870,0
去,go,goi,0.865,0
知,ojk,okj,0.860,0
講,yir,yimr,0.855,0
俾,or,omgr,0.848,0
可,yn,ynr,0.840,0
用,bq,bq,0.835,0
做,okg,okrg,0.830,0
問,bnr,bnr,0.825,0
題,jyk,jyak,0.820,0
就,yod,yod,0.815,0
先,hhu,tfu,0.810,0
再,mg,mgr,0.805,0
都,yk,ytk,0.800,0
已,su,sp,0.795,0
話,yhg,yrg,0.790,0
想,ph,puiih,0.785,0
點,kol,koml,0.780,0
時,ai,aij,0.775,0
日,aa,am,0.770,0
今,omn,omn,0.765,0
幾,vkd,vihd,0.760,0
點解,kolre,,0.755,0
見,buv,bumv,0.750,0
覺,ybie,yboe,0.745,0
所,hsd,hsd,0.740,0
地,gb,gpn,0.735,0
人,o,o,0.730,0
