# HK core phrase corpus — Stage 1
# Fields: phrase, quick_code, freq, hk_core
# quick_code = concatenated Quick codes of each character
phrase,quick_code,freq,hk_core
我嘅,qirv,0.930,1
你哋,onrp,0.925,1
佢哋,ogrp,0.918,1
唔係,rroi,0.912,1
唔好,rrvd,0.908,1
唔該,rrio,0.965,1
唔使,rrbg,0.890,1
唔知,rroj,0.885,1
我哋,qirp,0.920,1
唔係咁,rroirj,,0.878,1
冇問題,bmbnnr,0.872,1
有冇,bgbm,0.868,1
咗未,rudm,0.862,1
喺邊,rhnt,0.858,1
嗰個,raor,0.852,1
啲嘢,rtre,0.848,1
可唔可以,ynrrynvi,0.842,1
遲啲,yurt,0.838,1
等陣,hgri,0.832,1
你係咪,onoirv,,0.828,1
做緊,okgrk,,0.822,1
係咁,oirj,0.818,1
好似,vdsp,,0.812,1
唔得,rrmk,,0.808,1
依家,ohhy,,0.802,1
即係,aio,,0.798,1
咁啱,rjrq,0.795,1
喺度,rhyke,,0.790,1
做咗,okru,,0.785,1
講緊,yirk,,0.780,1
你好,ond,,0.940,0
唔係囉,rroiwr,,0.775,1
我想,qiph,,0.772,0
你想,onph,,0.768,0
我覺得,qiyboe,,0.765,0
係喎,oirh,,0.762,1
點解呢,kolrers,,0.758,1
我知,qioj,,0.755,0
我返,qiyv,,0.750,0
你好嘛,onvdrf,,0.748,0
去邊,gont,,0.745,0
去做,gokg,,0.742,0
幾時,vkuai,,0.738,0
邊個,ntor,,0.735,0
話俾我知,yrgoroj,,0.732,1
好好,vdvd,,0.728,0
今日,omnaa,,0.725,0
今晚,omnbo,,0.722,0
聽日,hnaa,,0.718,0
聽朝,hnaj,,0.715,0
舊時,mhskai,,0.712,0
即刻,aiyf,,0.708,0
快啲,pirt,,0.705,0
慢慢,pmpn,,0.702,0
一齊,mivv,,0.698,0
呀係,rsoi,,0.695,1
喇,rpa,,0.692,1
囉,wr,,0.688,1
囉嗦,wrriv,,0.685,1
喎,rhy,,0.682,1
咋,rks,,0.678,1
㗎,rk,,0.675,1
㗎喇,rk,rpa,,0.672,1
而家,mbhy,,0.668,0
而且,mbaa,,0.665,0
所以,hspy,,0.662,0
但係,iioi,,0.658,0
唔但,rrpp,,0.655,1
同埋,mtgtj,,0.652,0
或者,mhj,,0.648,0
好多,vdkd,,0.645,0
好少,vdfh,,0.642,0
多謝,kdyt,,0.638,0
唔該晒,rrioao,,0.965,1
好耐冇見,vdmnbmbum,,0.632,1
係時候,oiaij,,0.628,0
返工,yvmn,,0.625,0
放工,ykm,,0.622,0
放假,ykoh,,0.618,0
