# Jyutping tonal reference derived from rime-cantonese (CC BY 4.0).
# Preservation export: full 1-6 tone marks and every explicit reading per
# character. NOT bundled into the APK; the runtime decode corpus stays toneless.
# Source URL: https://codeload.github.com/rime/rime-cantonese/tar.gz/c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0
# Source commit: c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0
# Source date: 2026-07-02T11:05:50Z
# Source SHA-256: 83fddd062104abac17fbc0c039f2c22c57671e96c5395a00abc326fd9ceeedfd
# Fields: chinese, code_points, readings (space-separated, source order).
chinese,code_points,readings
〇,U+3007,ling4
㐀,U+3400,jau1
㐁,U+3401,dou6
㐂,U+3402,cat1
㐃,U+3403,zim1
㐄,U+3404,kwaa1
㐅,U+3405,ng5
㐆,U+3406,ji1
㐇,U+3407,gau2
㐈,U+3408,jap6
㐉,U+3409,ding1
㐊,U+340A,si6
㐋,U+340B,tou2
㐌,U+340C,ji4
㐍,U+340D,zaau2
㐎,U+340E,man4
㐏,U+340F,ng5
㐐,U+3410,nou4
㐑,U+3411,dung1
㐒,U+3412,ziu6
㐓,U+3413,ho2
㐔,U+3414,hang1
㐕,U+3415,jau4
㐖,U+3416,kit3
㐗,U+3417,lou5
㐘,U+3418,mai5
㐙,U+3419,dau6
㐚,U+341A,ng4
㐛,U+341B,jau6
㐜,U+341C,sau4
㐝,U+341D,keoi1
㐞,U+341E,kei4
㐟,U+341F,fei1
㐠,U+3420,jyu5
㐡,U+3421,no6
㐢,U+3422,fau4
㐣,U+3423,fu3
㐤,U+3424,daan1
㐥,U+3425,co4
㐦,U+3426,geoi2
㐧,U+3427,dai6
㐨,U+3428,zeoi6
㐩,U+3429,jing4
㐪,U+342A,hoi6
㐫,U+342B,hung1
㐬,U+342C,lau4
㐭,U+342D,lam5
㐮,U+342E,soeng1
㐯,U+342F,jung4
㐰,U+3430,seon3
㐱,U+3431,can2
㐲,U+3432,daai6
㐳,U+3433,ngat6
㐴,U+3434,paan1
㐵,U+3435,jyu4
㐶,U+3436,ci5
㐸,U+3438,him3
㐹,U+3439,ngat6
㐺,U+343A,jam4
㐻,U+343B,noi6
㐼,U+343C,cing2
㐾,U+343E,wun6
㐿,U+343F,sau2
㑀,U+3440,taai3
㑁,U+3441,zeot1
㑂,U+3442,fong2
㑃,U+3443,aau2
㑄,U+3444,mou5
㑅,U+3445,zok3
㑆,U+3446,hing1
㑉,U+3449,suk1
㑊,U+344A,jik6
㑋,U+344B,hung3
㑌,U+344C,hong1
㑍,U+344D,loi6
㑎,U+344E,nou5
㑏,U+344F,cyu5
㑐,U+3450,suk1
㑑,U+3451,zat6
㑒,U+3452,cim1
㑓,U+3453,zeon3
㑕,U+3455,seoi3
㑖,U+3456,zung6
㑗,U+3457,san1
㑘,U+3458,gaai3
㑙,U+3459,dip3
㑚,U+345A,naa5
㑛,U+345B,suk1
㑜,U+345C,jai6
㑝,U+345D,lung6
㑞,U+345E,jing6
㑟,U+345F,bang2
㑠,U+3460,gin1
㑡,U+3461,zik1
㑢,U+3462,koek3
㑣,U+3463,laam4
㑤,U+3464,maau4
㑥,U+3465,ji6
㑦,U+3466,lai6
㑧,U+3467,gwai3
㑨,U+3468,jyu5
㑪,U+346A,caai4
㑫,U+346B,lim6 nim6
㑬,U+346C,gu1
㑭,U+346D,bei2
㑮,U+346E,wan4
㑯,U+346F,seoi2
㑰,U+3470,fui3
㑱,U+3471,jiu5
㑲,U+3472,naam4
㑳,U+3473,cau1 zau3
㑴,U+3474,cam1
㑵,U+3475,zat6
㑶,U+3476,hei3
㑷,U+3477,taai3
㑸,U+3478,jiu4
㑹,U+3479,wui6
㑺,U+347A,zeon3
㑻,U+347B,maat3
㑼,U+347C,loek6
㑽,U+347D,tong4
㑾,U+347E,jiu4
㑿,U+347F,zaau6
㒀,U+3480,zaak6
㒁,U+3481,jyu5
㒂,U+3482,zoek3
㒃,U+3483,ji6
㒄,U+3484,jin5
㒅,U+3485,kai2
㒆,U+3486,kap1
㒇,U+3487,mou5
㒈,U+3488,haam3
㒉,U+3489,cong2
㒊,U+348A,saap3
㒋,U+348B,si1
㒌,U+348C,king4
㒍,U+348D,leoi4
㒎,U+348E,saap3
㒏,U+348F,hon4
㒐,U+3490,seon2
㒑,U+3491,fui2
㒒,U+3492,buk6
㒓,U+3493,daat3 taat3
㒔,U+3494,suk6
㒕,U+3495,ong1
㒖,U+3496,ngau5
㒗,U+3497,toi4
㒘,U+3498,syu6
㒙,U+3499,min4
㒚,U+349A,jan3
㒛,U+349B,tiu5
㒜,U+349C,jyu5
㒝,U+349D,mit6
㒞,U+349E,wai6
㒟,U+349F,niu5
㒠,U+34A0,haai6
㒡,U+34A1,jau4
㒢,U+34A2,joek6
㒣,U+34A3,jing3
㒤,U+34A4,cip3
㒥,U+34A5,fung1
㒦,U+34A6,leoi5
㒧,U+34A7,lai6
㒨,U+34A8,sin1
㒩,U+34A9,lo2
㒪,U+34AA,sek3
㒫,U+34AB,gei3
㒬,U+34AC,wong1
㒭,U+34AD,kwan1
㒮,U+34AE,fui1
㒯,U+34AF,jip6
㒰,U+34B0,cyun4
㒱,U+34B1,zik6
㒲,U+34B2,coi4
㒳,U+34B3,loeng5
㒴,U+34B4,gwat1
㒵,U+34B5,maau6
㒶,U+34B6,gung1
㒷,U+34B7,hing1
㒸,U+34B8,seoi6
㒹,U+34B9,din1
㒺,U+34BA,mong5
㒻,U+34BB,mou6
㒼,U+34BC,mang4 mun4
㒽,U+34BD,hyun1
㒾,U+34BE,ci3
㒿,U+34BF,lei4
㓀,U+34C0,buk1
㓁,U+34C1,mong5
㓂,U+34C2,kau3
㓃,U+34C3,dou3
㓄,U+34C4,zam3
㓅,U+34C5,ting1
㓆,U+34C6,leon4
㓇,U+34C7,juk1
㓈,U+34C8,bing3
㓉,U+34C9,wut6
㓊,U+34CA,dung6
㓋,U+34CB,gung6
㓌,U+34CC,cang1
㓍,U+34CD,cung1
㓎,U+34CE,cam1
㓏,U+34CF,gwing2
㓐,U+34D0,luk6
㓑,U+34D1,jing6
㓒,U+34D2,cat1
㓓,U+34D3,naam4
㓔,U+34D4,ze6
㓕,U+34D5,mit6
㓖,U+34D6,bat1
㓗,U+34D7,git3
㓘,U+34D8,suk1
㓙,U+34D9,hung1
㓚,U+34DA,gung1
㓛,U+34DB,gung1
㓜,U+34DC,jau3
㓝,U+34DD,jing4
㓞,U+34DE,kai3 kit3
㓟,U+34DF,pai1
㓠,U+34E0,dim3
㓡,U+34E1,fu2
㓢,U+34E2,lok6
㓣,U+34E3,hap1
㓤,U+34E4,gat1
㓦,U+34E6,baak3 maak3
㓧,U+34E7,gam1
㓨,U+34E8,ci3
㓩,U+34E9,hyun1
㓪,U+34EA,long5
㓫,U+34EB,fu1
㓬,U+34EC,fu1
㓭,U+34ED,hot3
㓮,U+34EE,diu1
㓯,U+34EF,lei4
㓰,U+34F0,waak6
㓱,U+34F1,tau4
㓲,U+34F2,pin1
㓳,U+34F3,dai1
㓴,U+34F4,jyun5
㓵,U+34F5,ngok6
㓶,U+34F6,kit3
㓷,U+34F7,ji6
㓸,U+34F8,zoek3
㓹,U+34F9,jeoi6
㓺,U+34FA,kin4
㓻,U+34FB,gong1
㓼,U+34FC,cat1
㓽,U+34FD,sung4
㓾,U+34FE,sai1
㓿,U+34FF,syu2
㔀,U+3500,king4
㔁,U+3501,dang1
㔂,U+3502,leon4
㔃,U+3503,zyut6
㔄,U+3504,suk1
㔅,U+3505,siu3
㔆,U+3506,caam5
㔇,U+3507,put3
㔈,U+3508,fei6
㔊,U+350A,zin2
㔋,U+350B,gaam3
㔌,U+350C,zau6
㔍,U+350D,caat3
㔎,U+350E,sit3
㔏,U+350F,lik6
㔐,U+3510,cim1
㔑,U+3511,cat1
㔒,U+3512,kwai4
㔓,U+3513,gin2
㔔,U+3514,gaa1
㔕,U+3515,gat6
㔖,U+3516,gaa1
㔗,U+3517,fai6
㔘,U+3518,ceot1
㔙,U+3519,paang1
㔚,U+351A,hau2
㔛,U+351B,kit3
㔜,U+351C,but6
㔝,U+351D,loeng5
㔞,U+351E,gwaai1
㔟,U+351F,sai3
㔠,U+3520,hat6
㔡,U+3521,bit3
㔢,U+3522,dyut3
㔣,U+3523,leoi6
㔤,U+3524,san3
㔥,U+3525,baa6
㔦,U+3526,joeng5
㔧,U+3527,leoi6
㔨,U+3528,bui3
㔩,U+3529,ap1 hap6
㔪,U+352A,lou5
㔫,U+352B,lung4
㔬,U+352C,coek3
㔭,U+352D,ci4
㔮,U+352E,no4
㔯,U+352F,syun4
㔰,U+3530,hang4
㔱,U+3531,jyu4
㔲,U+3532,gwai2
㔳,U+3533,gwai2
㔴,U+3534,jik6
㔵,U+3535,syun2
㔶,U+3536,gung3
㔷,U+3537,lau6
㔸,U+3538,tai1
㔹,U+3539,lak6
㔺,U+353A,sai3
㔻,U+353B,pei1
㔼,U+353C,seon2
㔽,U+353D,jau5
㔾,U+353E,cim1 zit3
㔿,U+353F,zau3
㕀,U+3540,wai3
㕁,U+3541,koek3
㕂,U+3542,jam4
㕃,U+3543,kai1
㕄,U+3544,zi2
㕅,U+3545,gaap3
㕆,U+3546,wu6
㕇,U+3547,laap6
㕈,U+3548,ji2
㕉,U+3549,hap6
㕊,U+354A,bou1
㕋,U+354B,kam4
㕌,U+354C,ngoi6
㕍,U+354D,deoi1
㕎,U+354E,hap6
㕏,U+354F,cyu4
㕐,U+3550,se2
㕑,U+3551,ceoi4 cyu4
㕒,U+3552,ngai4
㕓,U+3553,cin4
㕔,U+3554,teng1 ting1
㕕,U+3555,waan6
㕖,U+3556,sou3
㕗,U+3557,jau5
㕘,U+3558,caam1 sam1
㕙,U+3559,zeon3
㕚,U+355A,caa1 zaau2
㕛,U+355B,jau5
㕜,U+355C,si2
㕝,U+355D,si6
㕞,U+355E,caat3
㕟,U+355F,wai2
㕠,U+3560,soeng1
