source_name,url,license,commercial_use,modification,attribution,share_alike,redistribution,format,fields_used,production_allowed,notes,frequency_source,frequency_method,frequency_scope,last_updated,normalization_method
HK Internal Curated Stage1,internal,Proprietary — internal use only,yes,yes,n/a,no,no,CSV,"char/phrase/quick_code/freq/hk_core",yes,Manually curated Stage 1 corpus; no third-party data included; safe for production,HK chat weighted (manual estimate),Expert elicitation + common sense ranking,HK Cantonese daily chat,2026-06-14,Normalised to [0.0–1.0] per category
English Whitelist Stage1,internal,Proprietary — internal use only,yes,yes,n/a,no,no,CSV,"word/canonical",yes,Manually curated short English whitelist with canonical casing,n/a,n/a,HK professional / everyday English,2026-06-14,None required
Mixed Phrase Stage1,internal,Proprietary — internal use only,yes,yes,n/a,no,no,CSV,"trigger_en/phrase/freq",yes,Hand-crafted HK code-switching phrase list,HK chat weighted (manual estimate),Expert elicitation,HK Cantonese + English mixed chat,2026-06-14,Normalised to [0.0–1.0]
CC-CEDICT Pinyin Snapshot,https://cc-cedict.org/editor/editor_export_cedict.php?c=gz,CC BY-SA 4.0,yes,yes,"CC-CEDICT contributors; published by MDBG",yes,yes,"CC-CEDICT version=1 subversion=0 UTF-8 gzip","Traditional headword/Mandarin pinyin",yes,"Vendored snapshot corpus/sources/upstream/cc-cedict-2026-07-12T162325Z.u8.gz; source metadata date 2026-07-12T16:23:25Z; SHA-256 90e2881776366f606171a977a1f54786196f428ba604c728a279d4aaff7223a8; derived asset android/app/src/main/assets/corpus/pinyin.csv",HK core char and phrase frequency,"Exact Traditional-text match from hk_core=0 rows only; deterministic fallback by type/length: 0.3000 single character, 0.2500 two-character word, 0.2000 longer phrase; persisted canonical mao->貓 override 1.0000",Traditional Chinese Mandarin input,2026-07-12,"Validate raw pinned Pinyin syntax; lowercase ASCII a-z after mapping ü and u: to v and removing tones/separators; require full canonical Mandarin-syllable coverage; dedupe pinyin+Traditional text"
Pinned RIME Quick Sources,https://github.com/rime/rime-cangjie,GPL-3.0 + LGPL-3.0,yes,yes,Rime contributors,yes,yes,"Pinned GitHub source archives","Cangjie text/code and essay text/frequency",yes,"rime-cangjie commit 52d90a1b1312e74042b38c1cbc8142defbc53171 SHA-256 18d989bf21d0bb86b402f18be4dd060bf2653896c95448afb01d4da2e6be5464; rime-essay commit 0debef3f5ae37f081758dd8bbd1fe79719410f7c SHA-256 4f32414039eb7f8a876acd8e94bd81c78fefafde56a352f7a3b8b2b74ca09c71; generator corpus/tools/build_quick_corpus.py; reviewed Stage1 inputs are separately checksummed in corpus_manifest.json",rime-essay,"Characters with essay count >=1 plus reviewed HK rows; top 40000 encodable phrases plus reviewed HK phrases; deterministic rational score",Hong Kong Traditional Chinese Quick input,2026-07-13,"Choose canonical alphabetic Cangjie code; Quick code is first+last; recompute all reviewed codes; dedupe by text"
Reviewed HK English Assist Overrides,internal,Project-curated,yes,yes,n/a,no,yes,CSV,"english/chinese/freq",yes,"Human-reviewed Hong Kong English->Chinese renderings shipped as english_assist_overrides.csv; layered over the reproducible CC-CEDICT assist so Hong Kong terms (巴士/的士/雪櫃/屋企/𨋢) rank first while raw glosses remain available",Human review,"Explicit rank frequency 0.96-0.99 per Hong Kong rendering",English to Hong Kong Traditional Chinese assist,2026-07-13,"Lowercase English keys; Traditional output; additive layer only"
Pinned English FrequencyWords Vocabulary,https://github.com/hermitdave/FrequencyWords,CC BY-SA 4.0,yes,yes,"FrequencyWords contributors",yes,yes,"text word/count list","English key vocabulary",yes,"Pinned content/2018/en/en_50k.txt from commit 525f9b560de45753a5ea01069454e72e9aa541c6; SHA-256 5351ff405b1126ef555791dd4d9798a48e3e9a501a9fc481a9da957752cfb458",OpenSubtitles frequency list,"Restricts CC-CEDICT gloss exposure to ordinary English input keys",English assist key eligibility,2026-07-14,"Lowercase ASCII words plus bounded compound/apostrophe terms whose component is in the pinned vocabulary"
Reproducible English Assist Corpus,https://cc-cedict.org/editor/editor_export_cedict.php?c=gz,CC BY-SA 4.0 + LGPL-3.0 + Project-curated,yes,yes,"CC-CEDICT, FrequencyWords, Rime contributors",yes,yes,CSV,"english/chinese/freq",yes,"Deterministic generator corpus/tools/build_english_assist_corpus.py combines pinned CC-CEDICT Traditional headwords, FrequencyWords vocabulary, rime-essay ranking, and checksummed internal Stage1 rows",rime-essay,"Direct gloss quality first; then deterministic rime-essay score; max three outputs per English key",English to Traditional Chinese assist,2026-07-14,"Lowercase gloss keys; reject dictionary markup; cap key length at 32; retain curated HK rows as higher-priority input"
Pinned rime-cantonese Jyutping Source,https://codeload.github.com/rime/rime-cantonese/tar.gz/c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0,CC BY 4.0,yes,yes,"Rime Cantonese contributors; developed and maintained by CanCLID",no,yes,"Pinned GitHub source archive","Explicit chars and words Jyutping readings plus essay-cantonese integer frequency",yes,"Vendored commit c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0 dated 2026-07-02T11:05:50Z; archive SHA-256 83fddd062104abac17fbc0c039f2c22c57671e96c5395a00abc326fd9ceeedfd; deterministic generator corpus/tools/build_jyutping_corpus.py; phrase rows without explicit readings and ODbL maps table are excluded",essay-cantonese,"All explicit character readings; words with count >=101; deterministic rational score 0.2000 + 0.6000*count/(count+10000); max 256 candidates per key",Hong Kong Cantonese Jyutping input,2026-07-13,"Strip tone digits 1-6 and spaces; dedupe key+text; sort by key then score then Unicode text"
Jyutping Tonal Reference Export,https://codeload.github.com/rime/rime-cantonese/tar.gz/c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0,CC BY 4.0,yes,yes,"Rime Cantonese contributors; developed and maintained by CanCLID",no,yes,"Pinned GitHub source archive","Explicit character Jyutping readings with tone digits 1-6",yes,"Preservation export corpus/reference/jyutping_tonal_readings.csv; NOT bundled into the APK; deterministic generator corpus/tools/build_jyutping_tones.py; preserves all tonal readings and Unicode code points including supplementary plane",n/a,n/a,Hong Kong Cantonese pronunciation preservation,2026-07-13,"Preserve tone digits 1-6 and every explicit reading in source order; dedupe per character; sort by first Unicode code point"
